Model,Delta,Method,Power,MDD
101,0,statL,5.5 ,50.8 
101,0.1,statL,7.2 ,50.5 
101,0.2,statL,17.2 ,49.0 
101,0.3,statL,36.1 ,49.4 
101,0.4,statL,57.7 ,49.0 
101,0.5,statL,71.6 ,45.5 
101,0.6,statL,87.5 ,42.1 
101,0.7,statL,95.8 ,36.9 
101,0.8,statL,99.2 ,32.4 
101,0.9,statL,99.8 ,29.4 
101,1,statL,100.0 ,26.5 
101,1.1,statL,100.0 ,22.8 
101,1.2,statL,100.0 ,20.6 
101,1.3,statL,100.0 ,19.6 
101,1.4,statL,100.0 ,18.0 
101,1.5,statL,100.0 ,16.7 
101,1.6,statL,100.0 ,15.4 
101,1.7,statL,100.0 ,14.8 
101,1.8,statL,100.0 ,14.0 
101,1.9,statL,100.0 ,13.1 
101,2,statL,100.0 ,12.8 
102,0,statL,4.6 ,57.2 
102,0.1,statL,7.7 ,56.8 
102,0.2,statL,18.5 ,53.8 
102,0.3,statL,34.2 ,54.7 
102,0.4,statL,59.1 ,51.3 
102,0.5,statL,81.0 ,46.9 
102,0.6,statL,95.0 ,41.3 
102,0.7,statL,98.3 ,36.9 
102,0.8,statL,99.8 ,32.3 
102,0.9,statL,100.0 ,28.1 
102,1,statL,99.9 ,25.1 
102,1.1,statL,100.0 ,22.5 
102,1.2,statL,100.0 ,20.8 
102,1.3,statL,100.0 ,19.3 
102,1.4,statL,100.0 ,18.1 
102,1.5,statL,100.0 ,17.3 
102,1.6,statL,100.0 ,16.2 
102,1.7,statL,100.0 ,15.6 
102,1.8,statL,100.0 ,14.8 
102,1.9,statL,100.0 ,14.1 
102,2,statL,100.0 ,13.8 
103,0,statL,4.9 ,52.8 
103,0.1,statL,4.8 ,55.6 
103,0.2,statL,8.3 ,52.8 
103,0.3,statL,11.2 ,55.6 
103,0.4,statL,19.6 ,52.8 
103,0.5,statL,30.7 ,54.8 
103,0.6,statL,42.7 ,53.3 
103,0.7,statL,57.0 ,51.9 
103,0.8,statL,69.5 ,49.7 
103,0.9,statL,79.8 ,47.4 
103,1,statL,91.2 ,45.0 
103,1.1,statL,94.2 ,42.3 
103,1.2,statL,98.0 ,39.1 
103,1.3,statL,98.7 ,36.5 
103,1.4,statL,99.6 ,33.6 
103,1.5,statL,100.0 ,31.6 
103,1.6,statL,99.9 ,29.4 
103,1.7,statL,100.0 ,27.9 
103,1.8,statL,100.0 ,26.0 
103,1.9,statL,100.0 ,25.1 
103,2,statL,100.0 ,24.3 
104,0,statL,8.4 ,44.6 
104,0.1,statL,13.6 ,49.9 
104,0.2,statL,30.2 ,48.5 
104,0.3,statL,56.0 ,45.5 
104,0.4,statL,81.0 ,41.3 
104,0.5,statL,95.4 ,34.5 
104,0.6,statL,98.8 ,28.1 
104,0.7,statL,99.9 ,22.6 
104,0.8,statL,100.0 ,18.3 
104,0.9,statL,100.0 ,15.9 
104,1,statL,100.0 ,13.6 
104,1.1,statL,100.0 ,11.9 
104,1.2,statL,100.0 ,10.4 
104,1.3,statL,100.0 ,9.5 
104,1.4,statL,100.0 ,8.6 
104,1.5,statL,100.0 ,7.9 
104,1.6,statL,100.0 ,7.3 
104,1.7,statL,100.0 ,6.8 
104,1.8,statL,100.0 ,6.3 
104,1.9,statL,100.0 ,5.8 
104,2,statL,100.0 ,5.6 
